DATE,HCCSDODNS_DSPI
2014-01-01,0.24410223364362631305
2014-04-01,0.24428835005984949948
2014-07-01,0.24504356848032839883
2014-10-01,0.24568737689178355338
2015-01-01,0.24694460928802288035
2015-04-01,0.24963736319897203017
2015-07-01,0.25195776850886339937
2015-10-01,0.24494695565310101130
2016-01-01,0.24754509075317993426
2016-04-01,0.25038303683839899848
2016-07-01,0.25239573660813984970
2016-10-01,0.25389969046012056355
2017-01-01,0.25327091496528493848
2017-04-01,0.25303797726115730528
2017-07-01,0.25328340283270631350
2017-10-01,0.25454967506434479626
2018-01-01,0.25246591605891792457
2018-04-01,0.25113814933359631288
2018-07-01,0.25141208157798818906
2018-10-01,0.25184679428223054712
2019-01-01,0.25203753679315143839
2019-04-01,0.25427502537840179653
2019-07-01,0.25492020082536024423
2019-10-01,0.25525180717512449813
2020-01-01,0.25323858422503648965
2020-04-01,0.22714929953058502937
2020-07-01,0.23668367211624073661
2020-10-01,0.24231648301627683618
