DATE,M06006USM156NNBR
1960-01-01,44
1960-02-01,30
1960-03-01,27
1960-04-01,28
1960-05-01,32
1960-06-01,34
1960-07-01,36
1960-08-01,40
1960-09-01,41
1960-10-01,39
1960-11-01,38
1960-12-01,38
1961-01-01,38
1961-02-01,40
1961-03-01,40
1961-04-01,47
1961-05-01,48
1961-06-01,48
1961-07-01,49
1961-08-01,52
1961-09-01,55
1961-10-01,55
1961-11-01,51
1961-12-01,53
1962-01-01,56
1962-02-01,56
1962-03-01,55
1962-04-01,48
1962-05-01,46
1962-06-01,42
1962-07-01,44
1962-08-01,44
1962-09-01,48
1962-10-01,48
1962-11-01,48
1962-12-01,48
1963-01-01,50
1963-02-01,52
1963-03-01,54
1963-04-01,60
1963-05-01,58
1963-06-01,54
1963-07-01,42
1963-08-01,48
1963-09-01,52
1963-10-01,48
1963-11-01,48
1963-12-01,46
1964-01-01,55
1964-02-01,54
1964-03-01,60
1964-04-01,60
1964-05-01,63
1964-06-01,55
1964-07-01,59
1964-08-01,65
1964-09-01,74
1964-10-01,72
1964-11-01,70
1964-12-01,66
1965-01-01,68
1965-02-01,72
1965-03-01,66
1965-04-01,72
1965-05-01,70
1965-06-01,66
1965-07-01,62
1965-08-01,64
1965-09-01,62
1965-10-01,60
1965-11-01,66
1965-12-01,72
1966-01-01,74
1966-02-01,85
1966-03-01,86
1966-04-01,82
1966-05-01,75
1966-06-01,69
1966-07-01,70
1966-08-01,73
1966-09-01,72
1966-10-01,70
1966-11-01,64
1966-12-01,57
